time,SBERP,LKOH,GAZP,FIVE,YNDX,SMLT,SVAV,NVDA,VTBR,TRMK,GMKN,FEES,AFLT,FLOT
2021-11-26 07:00:00+00:00,286.0,6374.0,326.0,2088.0,5380.0,4704.4,212.5,,0.04658,80.0,21560.0,0.16732,60.98,81.52
2021-11-29 07:00:00+00:00,294.95,6616.0,339.2,2060.0,5407.0,4775.0,211.0,,0.047375,79.56,21686.0,0.16686,61.1,81.94
2021-11-30 07:00:00+00:00,291.82,6513.0,334.24,2073.0,5359.4,4740.0,206.0,,0.047195,75.5,21538.0,0.1659,60.32,80.24
2021-12-01 07:00:00+00:00,296.3,6576.5,345.21,2116.0,5330.8,4903.0,216.0,,0.04758,77.4,21952.0,0.1667,62.0,82.1
2021-12-02 07:00:00+00:00,297.87,6732.0,350.3,2131.0,5255.0,5367.8,212.5,,0.04893,75.76,22110.0,0.17134,62.84,81.39
2021-12-03 07:00:00+00:00,295.51,6639.5,345.99,2085.0,5100.6,5110.0,210.5,,0.04861,76.12,21826.0,0.16994,62.26,80.71
2021-12-06 07:00:00+00:00,287.1,6650.0,338.94,2082.5,5068.0,5095.0,210.5,,0.04801,75.1,21886.0,0.16886,61.08,80.16
2021-12-07 07:00:00+00:00,288.4,6720.5,344.96,2091.5,4992.0,5100.0,212.5,,0.04838,75.2,21920.0,0.16602,62.4,79.36
2021-12-08 07:00:00+00:00,280.69,6574.5,340.5,2101.5,4932.2,5099.0,219.5,,0.047255,73.9,21888.0,0.1657,61.64,78.6
2021-12-09 07:00:00+00:00,280.51,6619.0,336.6,2133.5,4853.6,5100.0,222.5,,0.046915,74.14,22006.0,0.16618,61.04,79.55
2021-12-10 07:00:00+00:00,279.43,6619.5,332.0,2098.0,4664.0,5083.8,220.5,,0.045935,74.96,21888.0,0.16702,60.2,78.9
2021-12-13 07:00:00+00:00,266.46,6376.0,307.26,2037.5,4560.0,5040.0,217.0,,0.04293,72.24,20850.0,0.16206,60.02,75.07
2021-12-14 07:00:00+00:00,269.87,6592.0,319.35,2057.0,4586.4,5000.0,217.0,,0.04444,70.3,20958.0,0.16002,59.5,74.01
2021-12-15 07:00:00+00:00,271.27,6595.0,324.09,2082.0,4511.6,5030.0,216.5,,0.044795,73.14,21296.0,0.16002,59.36,72.78
2021-12-16 07:00:00+00:00,278.41,6729.0,328.39,2011.0,4609.6,5040.8,219.5,,0.04624,76.38,21310.0,0.16196,60.16,73.62
2021-12-17 07:00:00+00:00,278.82,6670.0,327.3,2031.0,4630.2,4910.2,218.5,,0.046905,75.1,21738.0,0.16404,60.04,72.6
2021-12-20 07:00:00+00:00,274.09,6328.5,325.9,1972.5,4474.8,4949.8,216.5,,0.046365,73.14,21644.0,0.16536,59.02,78.4
2021-12-21 07:00:00+00:00,275.9,6348.5,339.88,1970.0,4578.8,4990.0,216.5,,0.04734,73.44,21662.0,0.16782,59.68,76.04
2021-12-22 07:00:00+00:00,276.36,6349.5,345.55,1989.0,4488.4,4856.2,217.0,,0.047575,72.38,21834.0,0.16542,59.18,73.5
2021-12-23 07:00:00+00:00,276.02,6304.5,339.81,1930.0,4410.6,4808.0,218.0,,0.0472,72.48,21872.0,0.16458,59.2,76.26
2021-12-24 07:00:00+00:00,275.96,6313.5,338.79,1946.0,4424.8,4760.2,218.0,,0.04709,71.42,21824.0,0.16596,58.96,77.1
2021-12-27 07:00:00+00:00,278.61,6397.5,343.97,1947.0,4467.8,4800.0,217.5,,0.04773,72.24,22528.0,0.16596,59.08,75.05
2021-12-28 07:00:00+00:00,278.9,6478.0,343.23,1926.0,4482.0,4789.8,216.0,,0.048395,72.0,22642.0,0.1638,58.92,75.45
2021-12-29 07:00:00+00:00,277.45,6516.0,340.33,1924.0,4418.8,4811.0,215.0,,0.04843,72.18,22628.0,0.16178,58.98,77.0
2021-12-30 07:00:00+00:00,279.0,6573.0,342.39,1959.5,4569.4,4850.0,215.0,,0.048195,72.56,22900.0,0.16268,59.16,73.21
2022-01-03 07:00:00+00:00,289.74,6683.0,353.73,1994.0,4515.2,5000.0,219.0,,0.04945,76.8,23378.0,0.16664,60.7,76.2
2022-01-04 07:00:00+00:00,289.01,6728.0,352.55,2019.0,4479.8,4910.0,220.0,,0.0497,86.0,23314.0,0.17204,63.3,76.18
2022-01-05 07:00:00+00:00,274.8,6522.0,335.0,1966.5,4275.0,4913.0,218.0,,0.04736,80.78,23010.0,0.16852,60.98,76.4
2022-01-06 07:00:00+00:00,279.05,6699.0,346.13,1991.5,4226.6,4901.0,218.5,,0.048445,80.82,23280.0,0.16718,62.96,76.92
2022-01-10 07:00:00+00:00,277.8,6775.0,344.0,2010.0,4196.4,4900.0,219.0,,0.04895,81.6,23508.0,0.16706,63.02,75.59
2022-01-11 07:00:00+00:00,278.15,6816.0,343.74,2001.5,4338.2,4892.0,218.0,,0.05026,79.6,23734.0,0.16738,63.2,76.26
2022-01-12 07:00:00+00:00,276.0,6960.0,347.43,2011.5,4393.2,4900.0,220.5,,0.05011,80.8,24040.0,0.16998,62.44,77.0
2022-01-13 07:00:00+00:00,263.95,6665.0,337.6,1923.5,4168.0,4875.2,218.5,,0.047075,77.52,22836.0,0.16556,60.16,75.6
2022-01-14 07:00:00+00:00,252.64,6659.0,335.76,1885.0,3938.6,4869.2,215.0,,0.04641,76.4,22648.0,0.16212,59.86,73.08
2022-01-17 07:00:00+00:00,250.65,6516.0,327.81,1859.5,4075.6,4884.0,215.5,,0.0465,74.5,21820.0,0.16194,58.98,72.72
2022-01-18 07:00:00+00:00,228.61,6250.0,301.11,1759.5,3769.0,4749.8,204.0,,0.043635,71.56,20694.0,0.15448,55.46,70.07
2022-01-19 07:00:00+00:00,238.5,6494.0,318.36,1770.0,3701.8,4681.0,209.0,,0.045275,75.58,22024.0,0.1548,56.62,72.0
2022-01-20 07:00:00+00:00,244.0,6430.0,310.42,1756.5,3669.2,4801.0,214.5,,0.045415,76.28,22300.0,0.15554,57.2,72.46
2022-01-21 07:00:00+00:00,239.12,6420.0,311.6,1758.0,3490.0,4687.0,214.5,,0.043935,77.32,22100.0,0.15138,56.56,71.3
2022-01-24 07:00:00+00:00,230.63,6293.0,294.59,1683.5,3345.0,4168.8,210.0,,0.04118,72.52,21250.0,0.14354,52.22,68.87
2022-01-25 07:00:00+00:00,231.6,6543.0,302.96,1620.5,3409.2,4650.0,213.0,,0.042535,73.0,21466.0,0.14496,52.4,72.42
2022-01-26 07:00:00+00:00,230.14,6525.5,299.6,1650.0,3364.8,4551.2,212.5,,0.04129,74.5,21788.0,0.14046,52.64,69.81
2022-01-27 07:00:00+00:00,243.53,6811.5,325.25,1739.5,3405.2,4531.0,214.0,,0.0431,75.38,22066.0,0.1459,55.02,70.51
2022-01-28 07:00:00+00:00,246.9,6775.0,329.58,1715.5,3448.4,4487.0,213.5,,0.043395,75.6,22082.0,0.144,55.54,71.9
